ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
116838,Yasuhiro Suzuki,M,24.0,186.0,,Japan,JPN,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Welterweight,
91232,Christopher Papamichalopoulos,M,21.0,176.0,75.0,Cyprus,CYP,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Slalom,
4468,Luca Ansoldi,M,24.0,179.0,77.0,Italy,ITA,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey,
96637,"Suzanne N. ""Suzy"" Powell-Roos",F,24.0,183.0,79.0,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Discus Throw,
56515,Jan Kabrhel,M,27.0,194.0,92.0,Czechoslovakia,TCH,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,
99113,Jnos Rtkai,M,25.0,177.0,78.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",
74550,Anton Kirilov Manolov,M,26.0,174.0,72.0,Bulgaria,BUL,1976 Summer,1976,Summer,Montreal,Shooting,Shooting Mixed Skeet,
55828,Per Anders Kenny Jnsson,M,19.0,191.0,92.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
66458,Richard Langer,M,48.0,,,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Sculpturing, Medals And Reliefs",
110087,Nikita Aleksandrovich Shurshin,M,23.0,192.0,96.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Sprint,
32913,Johan Sigvard Ericsson,M,25.0,,,Sweden,SWE,1956 Winter,1956,Winter,Cortina d'Ampezzo,Speed Skating,"Speed Skating Men's 5,000 metres",Silver
88846,Bengt Peter Olofsson,M,27.0,202.0,92.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Men's Handball,
75017,Janez Mari,M,26.0,182.0,78.0,Slovenia,SLO,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 20 kilometres,
11235,Valentine Bialas,M,21.0,,,United States,USA,1924 Winter,1924,Winter,Chamonix,Speed Skating,"Speed Skating Men's 10,000 metres",
27106,Carlos Jorge del Carril Garmendia,M,23.0,,,Argentina-2,ARG,1928 Winter,1928,Winter,Sankt Moritz,Bobsleigh,Bobsleigh Men's Four/Five,
81204,Uwe Mller,M,34.0,191.0,110.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Trap,
64353,Hans Tjebbe Kruize,M,22.0,179.0,91.0,Netherlands,NED,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,
31588,Harald Eggers,M,26.0,172.0,62.0,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,
78151,Patricia Megens (Libregts-),F,34.0,178.0,82.0,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,
52112,Thomas Richard Ingalsbe,M,26.0,195.0,152.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Super-Heavyweight,
85953,Artur Georg Nielsen,M,24.0,,,Denmark,DEN,1920 Summer,1920,Summer,Antwerpen,Athletics,"Athletics Men's 5,000 metres",
66743,Gilbert Larose,M,22.0,168.0,67.0,Canada,CAN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Individual All-Around,
111275,Kristan Brent Singleton,M,20.0,167.0,63.0,United States Virgin Islands,ISV,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Butterfly,
24440,"Clifton Emmett ""Cliff"" Cushman",M,22.0,188.0,72.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres Hurdles,Silver
128223,Maria Magdalena Wallin-Forsberg,F,24.0,166.0,57.0,Sweden,SWE,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,
47187,Britta Heidemann,F,29.0,180.0,70.0,Germany,GER,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's epee, Individual",Silver
5700,Polina Hryhorivna Astakhova,F,23.0,166.0,56.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Floor Exercise,Silver
22576,Oriol Combarros Vilaseca,M,24.0,167.0,67.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,
59275,Ramezan Kheder,M,32.0,160.0,57.0,Iran,IRI,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Bantamweight, Freestyle",
77726,Hannah McKibbin,F,19.0,178.0,55.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,
38476,Marcia Alejandra Garbey Momtell,F,19.0,162.0,56.0,Cuba,CUB,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's Long Jump,
39200,Pavel Anatolyevich Gayduk,M,21.0,178.0,70.0,Kazakhstan,KAZ,1998 Winter,1998,Winter,Nagano,Ski Jumping,"Ski Jumping Men's Large Hill, Team",
79178,Herman Meyboom,M,22.0,,,Belgium,BEL,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 100 metres Freestyle,
65682,"Yanelis Yuliet ""Yanely"" Labrada Daz",F,22.0,167.0,49.0,Cuba,CUB,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Flyweight,Silver
58434,Iljo Keisse,M,21.0,183.0,71.0,Belgium,BEL,2004 Summer,2004,Summer,Athina,Cycling,Cycling Men's Madison,
128830,Hugo Waser,M,28.0,190.0,84.0,Switzerland,SUI,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Pairs,
18612,Stewart James Carson,M,28.0,193.0,84.0,South Africa,RSA,2004 Summer,2004,Summer,Athina,Badminton,Badminton Men's Doubles,
43201,"Gregory ""Greg"" Grossmann",M,21.0,178.0,75.0,Canada,CAN,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
32386,Colette Elloy (Balma-),F,21.0,163.0,48.0,France,FRA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's 80 metres Hurdles,
89165,Oleksandr Romanovych Onishchenko,M,39.0,175.0,76.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Individual",
8363,Miroslav Bartek,M,26.0,,,Czechoslovakia,TCH,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 400 metres Freestyle,
24058,Rolando Cruz,M,20.0,180.0,68.0,Puerto Rico,PUR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Pole Vault,
7364,"Suzanne Elspeth ""Suzy"" Balogh",F,31.0,166.0,85.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Shooting,Shooting Women's Double Trap,
88928,Willy Olsen,M,21.0,178.0,75.0,Norway,NOR,1972 Winter,1972,Winter,Sapporo,Speed Skating,"Speed Skating Men's 5,000 metres",
105664,Andrs Santoyo Montesios,M,24.0,163.0,60.0,Mexico,MEX,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Featherweight,
115234,"Robert Gordon ""Bob"" Stiles",M,24.0,188.0,86.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,
106094,Eveli Saue,F,21.0,163.0,53.0,Estonia,EST,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 10 kilometres Pursuit,
61469,Scott Kneller,M,24.0,181.0,90.0,Australia,AUS,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Ski Cross,
108257,Celina Seghi,F,27.0,,,Italy,ITA,1948 Winter,1948,Winter,Sankt Moritz,Alpine Skiing,Alpine Skiing Women's Downhill,
116505,Sun Yang,M,16.0,198.0,89.0,China,CHN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
39940,Mahmoud Al-Gharbi,M,30.0,191.0,85.0,Tunisia,TUN,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,
63535,Tomio Koyanagi,M,20.0,,,Japan,JPN,1936 Summer,1936,Summer,Berlin,Diving,Diving Men's Springboard,
100656,Charles Riddy,M,23.0,,77.0,Toronto Argonauts,CAN,1908 Summer,1908,Summer,London,Rowing,Rowing Men's Coxed Eights,Bronze
11131,Birgit Beyer,F,28.0,172.0,62.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,
1441,Erich Ahrendt,M,27.0,174.0,81.0,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Javelin Throw,
41137,"Sandra ""Sandi"" Goldsberry (-Tyler, -Woepse)",F,16.0,173.0,61.0,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's High Jump,
26529,Luciano De Paolis,M,26.0,176.0,82.0,Italy-1,ITA,1968 Winter,1968,Winter,Grenoble,Bobsleigh,Bobsleigh Men's Four,Gold
111193,Avtar Singh Gill,M,21.0,171.0,54.0,Malaysia,MAS,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,
131039,Jodi Winter,F,24.0,184.0,76.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxed Eights,
111338,Adam Carter Sioui,M,26.0,196.0,88.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
27732,"Kimberley ""Kim"" Dermott",F,26.0,167.0,75.0,New Zealand,NZL,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,
122250,Tse Ying Suet,F,20.0,166.0,66.0,Hong Kong,HKG,2012 Summer,2012,Summer,London,Badminton,Badminton Women's Doubles,
124309,"Franois ""Frans"" Van Den Bosch",M,22.0,,,Belgium,BEL,1956 Summer,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Individual",
34936,Ciro Ferrara,M,21.0,175.0,70.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,
57333,Hamit Kaplan,M,30.0,190.0,97.0,Turkey,TUR,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",
122434,Reneta Tsvetkova,F,14.0,162.0,53.0,Bulgaria,BUL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Individual All-Around,
94411,Robert Edward Phelps,M,21.0,,,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",
3841,Lewis Robbins Anderson,M,21.0,183.0,59.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,"Athletics Men's 1,500 metres",
104582,Isidro Sala Puigvedal,M,28.0,180.0,72.0,Spain,ESP,1968 Summer,1968,Summer,Mexico City,Football,Football Men's Football,
51085,Mark John Hunter,M,34.0,181.0,74.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Double Sculls,Silver
80169,"Dominick Minicucci, Jr.",M,23.0,167.0,66.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,
125386,Lucian Vasilache,M,25.0,196.0,100.0,Romania,ROU,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,Bronze
25805,"William George ""Bill"" Day",M,22.0,,,Australia,AUS,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Slalom,
70581,Liu Hao,M,27.0,189.0,79.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",
43235,Bertil Martinius Grov,M,25.0,189.0,77.0,Norway,NOR,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,
97590,Eino Alfred Purje (Borg-),M,28.0,174.0,67.0,Finland,FIN,1928 Summer,1928,Summer,Amsterdam,Athletics,"Athletics Men's 1,500 metres",Bronze
121786,Birgit Treiber (-Beinroth),F,20.0,172.0,66.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Backstroke,Bronze
80455,Tekeste Mitiku,M,18.0,170.0,57.0,Ethiopia,ETH,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 20 kilometres Walk,
63696,Radoslav Kr,M,26.0,189.0,80.0,Slovakia,SVK,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,
28585,Georgi Dimitrov,M,25.0,,,Bulgaria,BUL,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
46537,Pierre Hastert,M,23.0,,,Luxembourg,LUX,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
73659,Maik Ferreira dos Santos,M,27.0,180.0,88.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,
97998,Rasmus Nicolai Quist Hansen,M,28.0,173.0,72.0,Denmark,DEN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,Bronze
113905,"Nicolaas Bernard ""Nico"" Spits",M,21.0,185.0,78.0,Netherlands,NED,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,
23665,Brooke Leeann Crain,F,19.0,160.0,55.0,United States,USA,2012 Summer,2012,Summer,London,Cycling,Cycling Women's BMX,
71728,Gordon Frederick Love,M,26.0,,,Stade Franais AC-2,FRA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Pairs,
111274,Kraig Brandon Singleton,M,16.0,165.0,62.0,United States Virgin Islands,ISV,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Individual Medley,
62355,Jana Komrskov,F,17.0,167.0,58.0,Czech Republic,CZE,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,
44178,Juan Jess Gutirrez Cuevas,M,28.0,176.0,68.0,Spain,ESP,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,
53277,Abbas Jadidi,M,31.0,185.0,99.0,Iran,IRI,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",
132146,Shigeo Yaegashi,M,23.0,171.0,68.0,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Football,Football Men's Football,
84026,Nedo Nadi,M,25.0,188.0,,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's epee, Team",Gold
35775,Johann Heinrich Flemer,M,20.0,,,Netherlands,NED,1908 Summer,1908,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,
7828,Karen Louise Bardsley,F,27.0,181.0,69.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Football,Football Women's Football,
37087,Eric Frenzel,M,21.0,174.0,57.0,Germany,GER,2010 Winter,2010,Winter,Vancouver,Nordic Combined,"Nordic Combined Men's Normal Hill / 10 km, Individual",
36263,Judit Forgcs,F,33.0,168.0,58.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 400 metres,
46120,Neil John Harper,M,19.0,190.0,74.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Backstroke,
91962,Jos Pastor Cataln,M,18.0,,,Spain,ESP,1924 Summer,1924,Summer,Paris,Boxing,Boxing Men's Bantamweight,
105826,Mirosawa Kazimiera Sarna (Saaciska-),F,26.0,167.0,60.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 4 x 100 metres Relay,
116092,Flix Surez Colomo,M,21.0,176.0,80.0,Spain,ESP,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's Sprint,
124104,Ubaldina Valoyes Cuesta,F,30.0,162.0,75.0,Colombia,COL,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Light-Heavyweight,
35181,Erwin Fiedor,M,24.0,170.0,67.0,Poland,POL,1968 Winter,1968,Winter,Grenoble,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",
122099,"Herbert Lawrence ""Herb"" Trube",M,21.0,177.0,69.0,United States,USA,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 5 mile,
60030,Kim Jeong-Mi,F,21.0,,,South Korea,KOR,1996 Summer,1996,Summer,Atlanta,Handball,Handball Women's Handball,Silver
100810,Guillermo Rigondeaux Ortz,M,23.0,166.0,54.0,Cuba,CUB,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Bantamweight,Gold
54327,Olivier Jenot,M,25.0,173.0,63.0,Monaco,MON,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Combined,
11822,Anni Biss (-Kildeberg),F,27.0,170.0,58.0,Denmark,DEN,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Women's Air Rifle, 10 metres",
10263,Osvaldo Francisco Benvenuti,M,24.0,174.0,70.0,Argentina,ARG,1976 Summer,1976,Summer,Montreal,Cycling,Cycling Men's 100 kilometres Team Time Trial,
53451,"Ammante E. ""Amman"" Jalmaani",M,23.0,175.0,66.0,Philippines,PHI,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
132413,Yan Ming,F,22.0,168.0,56.0,China,CHN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 400 metres Freestyle,
130624,Kenneth Williams,M,19.0,,,Great Britain,GBR,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
63968,Mitzi Patricia Kremer (-Tighe),F,20.0,178.0,68.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Freestyle,
72486,Hrafnhildur Luthersdttir,F,20.0,178.0,65.0,Iceland,ISL,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Breaststroke,
34336,Ibou Faye,M,26.0,190.0,75.0,Senegal,SEN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,
135360,Yelena Nikolayevna Zubrilova-Ogurtsova,F,32.0,161.0,52.0,Belarus,BLR,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
130117,Wi Gyeong-Yong,M,24.0,168.0,63.0,South Korea,KOR,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Road Race, Individual",
130962,Veronika Windisch,F,27.0,162.0,56.0,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",
84875,Thormod Ns,M,34.0,,,Norway,NOR,1964 Summer,1964,Summer,Tokyo,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
126666,Sophie Villeneuve,F,24.0,165.0,58.0,France,FRA,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,
88882,Jon C. Olsen,M,27.0,195.0,82.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
28033,Saida Al-Dhahri,F,21.0,174.0,63.0,Tunisia,TUN,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Half-Middleweight,
47315,Peter Heinz,M,30.0,181.0,79.0,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",
100411,Luis Fernando Ribera,M,23.0,172.0,70.0,Argentina,ARG,1952 Summer,1952,Summer,Helsinki,Modern Pentathlon,Modern Pentathlon Men's Individual,
45878,Hao Junmin,M,21.0,179.0,73.0,China,CHN,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
93998,Imre Petnehzy,M,27.0,,,Hungary,HUN,1932 Summer,1932,Summer,Los Angeles,Modern Pentathlon,Modern Pentathlon Men's Individual,
64539,Kanji Kubo,M,34.0,167.0,82.0,Japan,JPN,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",
12639,dn Bodor (Krausz-),M,26.0,,,Hungary,HUN,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 800 metres,
126531,Marta Vilajosana Andreu,F,33.0,170.0,57.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Women's Individual Time Trial,
102923,Edmond Roudnitska,M,21.0,184.0,75.0,France,FRA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 110 metres Hurdles,
112950,Damir olman,M,26.0,200.0,93.0,Yugoslavia,YUG,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Silver
115571,Svetoslav Stoyanov,M,24.0,182.0,80.0,Bulgaria,BUL,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Men's Doubles,
2247,Amelita Alanes (-Saberon),F,20.0,158.0,50.0,Philippines,PHI,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 200 metres,
73818,Sergey Mikhaylovich Makarov,M,25.0,170.0,77.0,Soviet Union,URS,1984 Winter,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
111543,Sarah Frederica Sjstrm,F,14.0,182.0,76.0,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Butterfly,
98821,Kikkan Lewis Randall (-Ellis),F,23.0,165.0,60.0,United States,USA,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,
24063,Ignacio Cruzat Santa Mara,M,,,,Chile,CHI,1956 Summer,1956,Summer,Melbourne,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",
13872,Rudolf Bttger,M,49.0,,,Austria,AUT,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",
70215,Fritz Axel Albert Lindqvist,M,32.0,,,Sweden-2,SWE,1920 Summer,1920,Summer,Antwerpen,Tennis,Tennis Mixed Doubles,
43139,Stefan Groothuis,M,28.0,181.0,78.0,Netherlands,NED,2010 Winter,2010,Winter,Vancouver,Speed Skating,"Speed Skating Men's 1,000 metres",
3551,Gudmund Birger Amundin,M,32.0,,,Gteborgs Roddklubb-1,SWE,1912 Summer,1912,Summer,Stockholm,Rowing,Rowing Men's Coxed Eights,
40177,Margaret Ruth Gibson,F,31.0,,,Zimbabwe,ZIM,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Pairs,
120207,Tian Guojun,M,23.0,188.0,84.0,China,CHN,2014 Winter,2014,Winter,Sochi,Speed Skating,"Speed Skating Men's 1,500 metres",
116152,Milan Suchopr,M,28.0,192.0,89.0,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxed Fours,
120832,Kati Tolmoff,F,24.0,164.0,62.0,Estonia,EST,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Women's Singles,
88736,Sara de Jesus Freitas de Oliveira,F,26.0,166.0,55.0,Portugal,POR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Butterfly,
101361,Karen Robertson,F,14.0,162.0,50.0,Hong Kong,HKG,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Freestyle,
122914,"Elizabeth Kimberly ""Beth"" Tweddle",F,19.0,159.0,52.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Horse Vault,
108092,Robert Wilson Sears,M,35.0,,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Modern Pentathlon,Modern Pentathlon Men's Individual,
111926,Grzegorz Ryszard ledziewski,M,30.0,182.0,78.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",
2317,Auguste Albert,M,,,,Martha-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 1-2 Ton,Bronze
21018,Choi Hyeon-Ju,F,27.0,172.0,65.0,South Korea,KOR,2012 Summer,2012,Summer,London,Archery,Archery Women's Individual,
1639,Albina Khamitovna Akhatova,F,29.0,160.0,55.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
93440,Guy Prillat Merceroz,M,23.0,168.0,68.0,France,FRA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Downhill,
124942,Pierre Van Thielt,M,,,,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Archery,"Archery Men's Target Archery, 33 metres, Team",Gold
130153,Jean Wicki,M,34.0,172.0,72.0,Switzerland-1,SUI,1968 Winter,1968,Winter,Grenoble,Bobsleigh,Bobsleigh Men's Two,
80009,Luk Milo,M,24.0,183.0,83.0,Czech Republic,CZE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,
